period,measurer,IDLE,experiment_runn,tiT,ipc0,Tmr Svc,esp_timer,wifi,ipc1,sys_evt,Heap,Stack,Mbps
0,21276,23196865,11574,29706,27248,17,14428,844869,45018,13762,290216,4124,0.37
1,24214,24156100,22170,64010,27248,17,15378,873173,45018,13762,290216,4124,0.95
2,27212,25113976,28309,110762,27248,17,16437,906493,45018,13762,290216,4124,0.92
3,30217,26075632,35717,213118,27248,17,17382,937113,45018,13762,290216,4124,0.77
4,33222,27036887,43525,328487,27248,17,18329,966589,45018,13762,290216,4124,0.84
5,36226,27994817,48240,408618,27248,17,19361,1002240,45018,13762,290216,4124,0.78
6,39238,28949106,59372,459643,27248,17,20436,1037201,45018,13762,290216,4124,1.05
7,41906,29909410,64196,514482,27248,17,21736,1070266,45018,13762,290216,4124,0.75
8,50578,30884295,65743,639637,27248,17,22917,1097927,45018,13762,290216,4124,0.38
9,53583,31865251,65743,733233,27248,17,23835,1116046,45018,13762,290216,4124,0.18
10,61751,32848927,66041,905916,27248,17,24818,1132456,45018,13762,290216,4124,0.05
11,71662,33841105,66041,1204019,27248,17,26195,1149907,45018,13762,290216,4124,0.03
12,74729,34828522,66041,1301154,27248,17,27334,1161377,45018,13762,290216,4124,0.01
13,77801,35819281,66568,1303389,27248,17,27971,1169169,45018,13762,290216,4124,0.02
14,80449,36790212,70118,1312587,27248,17,28975,1192275,45018,13762,290216,4124,0.29
15,83520,37763680,74241,1321909,27248,17,29844,1213136,45018,13762,290216,4124,0.33
16,86594,38728604,83391,1336083,27248,17,30870,1238037,45018,13762,290216,4124,0.65
17,89668,39697044,90820,1348282,27248,17,31524,1261033,45018,13762,290216,4124,0.54
18,92742,40678047,92512,1352706,27248,17,32476,1276474,45018,13762,290216,4124,0.19
19,95826,41641861,95525,1367350,27248,17,33638,1307644,45018,13762,290216,4124,0.61
20,98902,42605597,100541,1381623,27248,17,34736,1335734,45018,13762,290216,4124,0.68
21,102217,43581533,102692,1390620,27248,17,35471,1355121,45018,13762,290216,4124,0.33
22,104686,44552005,106509,1403012,27248,17,36295,1380498,45018,13762,290216,4124,0.50
23,107775,45515853,112949,1417558,27248,17,37441,1407966,45018,13762,290216,4124,0.70
24,110862,46485792,117183,1428764,27248,17,38448,1432849,45018,13762,290216,4124,0.47
25,113935,47456424,121994,1438404,27248,17,39537,1455216,45018,13762,290216,4124,0.39
26,117025,48431412,125675,1445563,27248,17,40663,1475679,45018,13762,290216,4124,0.30
27,120099,49413248,126982,1449364,27248,17,41497,1491172,45018,13762,290216,4124,0.13
28,123180,50401107,127204,1451860,27248,17,42424,1501042,45018,13762,290216,4124,0.05
29,126255,51389484,127669,1454134,27248,17,43227,1511117,45018,13762,290216,4124,0.04
30,129318,52367646,130896,1462866,27248,17,44091,1529041,45018,13762,290216,4124,0.38
31,132393,53338376,137090,1475723,27248,17,44846,1552537,45018,13762,290216,4124,0.58
32,135474,54294460,148880,1495178,27248,17,45562,1583556,45018,13762,290216,4124,0.96
33,138553,55265621,154075,1504603,27248,17,46758,1605452,45018,13762,290216,4124,0.45
34,141629,56250801,154480,1508146,27248,17,47779,1618233,45018,13762,290216,4124,0.07
35,144695,57222035,158689,1518185,27248,17,48660,1640402,45018,13762,290216,4124,0.38
36,147786,58208953,158689,1520570,27248,17,49541,1651386,45018,13762,290216,4124,0.05
37,150863,59192538,159712,1524344,27248,17,50320,1665845,45018,13762,290216,4124,0.10
38,153933,60172977,160609,1527358,27248,17,51247,1683408,45018,13762,290216,4124,0.07
39,157003,61142962,167544,1539445,27248,17,52086,1706577,45018,13762,290216,4124,0.57
40,160079,62128666,167757,1542453,27248,17,53030,1719336,45018,13762,290216,4124,0.07
41,163155,63117961,167757,1543636,27248,17,53826,1729220,45018,13762,290216,4124,0.00
42,166227,64104267,167958,1545111,27248,17,54725,1741480,45018,13762,290216,4124,0.01
43,169311,65093904,167958,1549146,27248,17,55523,1750011,45018,13762,290216,4124,0.00
44,172387,66071211,170947,1555157,27248,17,56388,1768637,45018,13762,290216,4124,0.24
45,175464,67058618,171161,1557580,27248,17,57363,1779515,45018,13762,290216,4124,0.01
46,178906,69053440,178406,1572009,27248,17,58236,1805664,45018,13762,290216,4124,0.64
47,181675,68971275,194702,1597912,27248,17,58847,1844113,45018,13762,290216,4124,1.29
48,184626,69920348,207861,1620050,27248,17,59739,1881143,45018,13762,290216,4124,1.15
49,187773,70879052,215954,1638616,27248,17,60678,1913232,45018,13762,290216,4124,0.87
50,190669,72980920,224468,1655372,27248,17,61741,1945751,45018,13762,290216,4124,0.84
51,193500,72797411,237142,1675787,27248,17,62509,1974970,45018,13762,290216,4124,1.04
52,196580,73768090,240870,1684677,27248,17,63685,1998059,45018,13762,290216,4124,0.40
53,199653,74748967,242859,1690573,27248,17,64534,2013637,45018,13762,290216,4124,0.19
54,202720,75733181,243060,1694247,27248,17,65442,2028178,45018,13762,290216,4124,0.10
55,205984,76715940,243608,1697359,27248,17,66605,2042208,45018,13762,290216,4124,0.04
56,208684,77686642,246549,1706138,27248,17,67810,2066906,45018,13762,290216,4124,0.38
57,211649,78668018,248087,1710714,27248,17,68734,2082926,45018,13762,290216,4124,0.14
58,214511,79646364,250275,1716822,27248,17,69648,2100398,45018,13762,290216,4124,0.25
59,220716,80616716,253739,1726002,27248,17,70586,2124410,45018,13762,290216,4124,0.34
60,223794,81587864,258399,1736325,27248,17,71416,2146302,45018,13762,290216,4124,0.44
61,230345,83538129,264652,1749027,27248,17,73365,2185177,45018,13762,290216,4124,0.19
62,236966,84515213,267991,1755439,27248,17,74206,2202571,45018,13762,290216,4124,0.23
63,240039,85494674,271116,1761631,27248,17,75148,2217618,45018,13762,290216,4124,0.21
64,242967,86465170,277094,1771937,27248,17,75976,2239540,45018,13762,290216,4124,0.42
65,249479,87435477,283252,1782767,27248,17,76637,2261463,45018,13762,290216,4124,0.43
66,252556,88407889,290260,1793762,27248,17,77428,2280603,45018,13762,290216,4124,0.49
67,255641,89380740,296414,1803932,27248,17,78245,2299521,45018,13762,290216,4124,0.44
68,258522,90356687,300604,1811572,27248,17,79093,2318283,45018,13762,290216,4124,0.28
69,260819,91327438,308817,1824815,27248,17,79958,2339422,45018,13762,290216,4124,0.57
70,263791,92296196,317153,1837999,27248,17,80570,2360686,45018,13762,290216,4124,0.58
71,266866,93271158,322706,1847120,27248,17,81455,2378306,45018,13762,290216,4124,0.38
72,269931,94243775,330380,1859019,27248,17,82059,2396669,45018,13762,290216,4124,0.55
73,272531,95217647,334678,1866798,27248,17,82761,2418504,45018,13762,290216,4124,0.28
74,275497,96190941,341128,1878085,27248,17,83412,2436493,45018,13762,290216,4124,0.45
75,278624,97156862,349871,1891920,27248,17,84121,2460155,45018,13762,290216,4124,0.61
76,281831,98128027,357091,1903914,27248,17,84782,2479929,45018,13762,290216,4124,0.51
77,285063,99101188,362511,1913245,27248,17,85567,2498706,45018,13762,290216,4124,0.38
78,296439,102028253,373319,1934494,27248,17,88406,2553512,45018,13762,290216,4124,0.15
79,299467,103004639,377140,1941079,27248,17,89568,2571093,45018,13762,290216,4124,0.26
80,302615,103983050,380954,1948393,27248,17,90278,2586433,45018,13762,290216,4124,0.26
81,305435,104958329,386339,1957023,27248,17,91025,2605113,45018,13762,290216,4124,0.37
82,321429,109832093,404613,1991613,27248,17,95391,2700603,45018,13762,290216,4124,0.38
83,324654,110808930,408624,1998541,27248,17,96348,2717818,45018,13762,290216,4124,0.27
84,327817,111783107,413128,2006078,27248,17,97361,2736937,45018,13762,290216,4124,0.31
85,331056,112749816,422599,2021399,27248,17,97965,2758878,45018,13762,290216,4124,0.67
86,334010,113720553,430065,2033451,27248,17,98639,2780734,45018,13762,290216,4124,0.51
87,337251,114696115,436005,2042821,27248,17,99522,2797488,45018,13762,290216,4124,0.43
88,340496,115661290,443883,2056663,27248,17,100232,2821766,45018,13762,290216,4124,0.55
89,343724,116640014,446656,2062448,27248,17,101043,2837892,45018,13762,290216,4124,0.19
90,346977,117612911,453152,2073485,27248,17,101720,2857190,45018,13762,290216,4124,0.45
91,353187,119562132,459506,2085701,27248,17,103419,2896845,45018,13762,290216,4124,0.25
92,356435,120533485,466035,2096553,27248,17,104161,2916558,45018,13762,290216,4124,0.45
93,359486,121504619,473296,2107981,27248,17,104777,2936856,45018,13762,290216,4124,0.50
94,362726,122480120,479336,2117854,27248,17,105467,2953605,45018,13762,290216,4124,0.42
95,365963,123459483,482834,2124335,27248,17,106336,2968031,45018,13762,290216,4124,0.24
96,369184,124432953,488495,2135581,27248,17,107053,2986534,45018,13762,290216,4124,0.47
97,372015,125407183,493661,2145209,27248,17,107773,3006109,45018,13762,290216,4124,0.34
98,375239,126386732,497433,2152413,27248,17,108576,3020256,45018,13762,290216,4124,0.28
99,378027,127358250,505093,2164671,27248,17,109152,3039761,45018,13762,290216,4124,0.52
100,381255,128334669,509408,2172037,27248,17,110212,3056397,45018,13762,290216,4124,0.30
101,387596,130278738,518227,2187944,27248,17,112057,3099057,45018,13762,290216,4124,0.20
102,390391,131253977,523450,2196623,27248,17,113072,3117086,45018,13762,290216,4124,0.36
103,393605,132231403,527792,2204206,27248,17,114080,3132506,45018,13762,290216,4124,0.30
104,396831,133210444,531095,2210661,27248,17,114909,3148001,45018,13762,290216,4124,0.24
105,400055,134181919,537831,2221822,27248,17,115729,3168162,45018,13762,290216,4124,0.46
106,403302,135152713,543375,2231986,27248,17,116395,3189035,45018,13762,290216,4124,0.38
107,406552,136128241,548694,2241378,27248,17,117162,3205448,45018,13762,290216,4124,0.37
108,410075,137108658,551514,2247179,27248,17,118255,3220642,45018,13762,290216,4124,0.19
109,413050,138080122,558474,2258645,27248,17,119008,3240250,45018,13762,290216,4124,0.49
110,416155,139051934,566087,2270953,27248,17,119825,3259399,45018,13762,290216,4124,0.53
111,419294,140025148,571335,2279737,27248,17,120491,3279033,45018,13762,290216,4124,0.36
112,428648,142950830,584421,2302759,27248,17,123192,3333077,45018,13762,290216,4124,0.32
113,435119,144908394,590896,2315921,27248,17,124946,3363948,45018,13762,290216,4124,0.21
114,438403,145883377,596999,2326523,27248,17,125620,3382674,45018,13762,290216,4124,0.41
115,441124,146859083,602691,2335469,27248,17,126390,3399535,45018,13762,290216,4124,0.39
116,444331,147832786,608496,2346189,27248,17,127170,3418380,45018,13762,290216,4124,0.41
117,447568,148810346,611700,2352294,27248,17,128004,3434606,45018,13762,290216,4124,0.21
118,450820,149788079,615506,2358775,27248,17,128866,3450369,45018,13762,290216,4124,0.26
119,457297,151733806,621425,2374169,27248,17,130857,3492963,45018,13762,290216,4124,0.17
120,460361,152715902,622332,2378614,27248,17,131816,3507495,45018,13762,290216,4124,0.14
121,463614,153702049,622332,2380801,27248,17,132614,3518965,45018,13762,290216,4124,0.00
122,466869,154693396,622332,2381741,27248,17,133259,3525778,45018,13762,290216,4124,0.00
123,470122,155682247,622332,2383081,27248,17,134278,3535772,45018,13762,290216,4124,0.00
124,473369,156671897,622332,2384443,27248,17,135081,3544114,45018,13762,290216,4124,0.00
125,476615,157661488,622332,2385672,27248,17,135872,3552594,45018,13762,290216,4124,0.00
126,479852,158650392,622332,2387054,27248,17,136733,3561680,45018,13762,290216,4124,0.00
127,483092,159639053,622332,2388301,27248,17,137569,3571032,45018,13762,290216,4124,0.00
128,486344,160628267,622332,2389582,27248,17,138376,3579756,45018,13762,290216,4124,0.00
129,489585,161617999,622332,2391441,27248,17,139023,3587612,45018,13762,290216,4124,0.00
130,492826,162602795,623387,2393774,27248,17,139878,3599315,45018,13762,290216,4124,0.04
131,496045,163589042,623981,2397350,27248,17,140678,3610920,45018,13762,290216,4124,0.08
132,499302,164577841,623981,2398956,27248,17,141544,3619736,45018,13762,290216,4124,0.00
133,509037,167542470,623981,2402904,27248,17,144325,3648894,45018,13762,290216,4124,0.00
134,512282,168529682,623981,2404184,27248,17,145159,3659668,45018,13762,290216,4124,0.00
135,515524,169520165,623981,2405566,27248,17,145950,3668262,45018,13762,290216,4124,0.00
136,518764,170509450,623981,2406914,27248,17,146843,3676966,45018,13762,290216,4124,0.00
137,522347,171499634,623981,2408354,27248,17,147627,3685317,45018,13762,290216,4124,0.00
138,525594,172489894,623981,2409498,27248,17,148397,3693101,45018,13762,290216,4124,0.00
139,528836,173475338,624591,2411529,27248,17,149394,3704530,45018,13762,290216,4124,0.00
140,532072,174466419,624591,2412770,27248,17,150119,3712732,45018,13762,290216,4124,0.00
141,538859,175450637,624591,2414890,27248,17,150955,3726685,45018,13762,290216,4124,0.00
142,545348,177419500,627052,2421203,27248,17,152501,3752474,45018,13762,290216,4124,0.18
143,548609,181683655,631115,2429448,27248,17,153477,3773664,45018,13762,290216,4124,0.36
144,551665,179385514,631115,2431414,27248,17,154242,3782492,45018,13762,290216,4124,0.02
145,554907,180376121,631115,2433813,27248,17,155028,3790931,45018,13762,290216,4124,0.00
146,558145,181365917,631115,2435133,27248,17,155865,3799212,45018,13762,290216,4124,0.00
147,561381,182352967,631115,2438214,27248,17,156580,3810332,45018,13762,290216,4124,0.00
148,564638,183338432,631115,2440468,27248,17,157428,3822481,45018,13762,290216,4124,0.00
149,570946,185311780,631115,2443244,27248,17,159260,3845139,45018,13762,290216,4124,0.00
150,573895,186300757,631115,2446886,27248,17,160046,3854442,45018,13762,290216,4124,0.00
151,577136,187289792,631115,2448557,27248,17,160914,3864168,45018,13762,290216,4124,0.00
152,583477,189265874,631748,2451948,27248,17,162562,3884523,45018,13762,290216,4124,0.00
153,586732,190255672,631748,2453172,27248,17,163332,3892745,45018,13762,290216,4124,0.00
154,589972,191243850,631748,2454561,27248,17,164179,3903564,45018,13762,290216,4124,0.00
155,593219,192234930,631748,2455787,27248,17,164888,3910639,45018,13762,290216,4124,0.00
156,596460,193223041,631748,2458571,27248,17,165702,3920591,45018,13762,290216,4124,0.00
157,599713,194212579,631748,2460270,27248,17,166547,3928734,45018,13762,290216,4124,0.00
158,602967,195200308,631748,2461711,27248,17,167450,3938932,45018,13762,290216,4124,0.00
